----------TEST-1------------
C0= 343901
C1256 = 639554
C1257 = 243297
C1258 = 426247
C1259 = 193214
C1260 = 543691
C1261 = 124738
C1262 = 120771
C1263 = 20570
C1264 = 548285
C1265 = 331687
C1266 = 328337
C1267 = 52801
C1268 = 644473
C1269 = 303747
C1270 = 299544
C1271 = 338461
C1272 = 30278
C1273 = 430491
C1274 = 491837
C1275 = 597927
C1276 = 126037
C1277 = 478676
C1278 = 440861
C1279 = 342683
C1280 = 236419
C1281 = 130371
C1282 = 85787
C1283 = 453444
C1284 = 188124
C1285 = 2610
C1286 = 646886
C1287 = 161156
C1288 = 118607
C1289 = 41560
